Iteration,Loss,BPC,Time (ms),MFU
545,4.9586,7.1537,4856.94,4.83
546,4.9684,7.1679,4851.59,4.83
547,5.0696,7.3138,4847.49,4.83
548,4.5553,6.5719,4844.62,4.83
549,4.8267,6.9635,4852.08,4.83
550,5.0484,7.2833,4837.42,4.83
551,4.2833,6.1795,4851.35,4.83
552,5.1198,7.3862,4861.04,4.83
553,4.8476,6.9936,4843.7,4.83
554,4.9184,7.0957,4838.43,4.83
555,4.4599,6.4343,4838.21,4.83
556,4.8187,6.952,4836.05,4.84
557,4.8585,7.0094,4839.79,4.84
558,4.9292,7.1114,4838.2,4.84
559,4.7152,6.8025,4837.83,4.84
560,4.3545,6.2822,4839.33,4.84
561,4.5684,6.5907,4837.26,4.84
562,5.3882,7.7735,4838.25,4.84
563,4.4419,6.4084,4838.86,4.84
564,5.3996,7.7899,4838.99,4.84
565,4.7098,6.7949,4837.71,4.84
566,4.3222,6.2357,4839.58,4.84
567,4.9323,7.1158,4836.74,4.84
568,4.7188,6.8079,4838.61,4.84
569,4.5084,6.5042,4837.91,4.84
570,4.6594,6.7221,4857.79,4.84
571,4.2148,6.0806,4839.73,4.84
572,4.3822,6.3222,4839.2,4.84
573,4.5405,6.5505,4855.8,4.84
574,5.1965,7.4969,4839.54,4.84
575,4.8346,6.9749,4839.81,4.84
576,4.3416,6.2636,4842.27,4.84
577,5.066,7.3087,4833.47,4.84
578,4.1861,6.0393,4839.28,4.84
579,4.3604,6.2907,4844.85,4.84
580,5.2413,7.5617,4830.66,4.84
581,4.4065,6.3573,4838.36,4.84
582,5.1292,7.3999,4846.15,4.84
583,4.3793,6.318,4831.92,4.84
584,4.5834,6.6124,4857.2,4.84
585,4.5179,6.518,4855.38,4.84
586,4.9589,7.1542,4841.29,4.84
587,4.5024,6.4956,4859.08,4.84
588,5.1792,7.472,4854.94,4.84
589,4.9556,7.1495,4841.05,4.84
590,4.8729,7.0301,4858.57,4.84
591,4.6808,6.7529,4858.63,4.83
592,4.426,6.3854,4839.34,4.84
593,4.3907,6.3344,4858.96,4.83
594,4.6818,6.7544,4857.12,4.83
595,5.2273,7.5413,4837.42,4.83
596,4.6108,6.652,4858.96,4.83
597,4.5743,6.5994,4857.65,4.83
598,4.8442,6.9887,4839.32,4.83
599,4.8718,7.0285,4849.4,4.83
600,5.067,7.3101,4846.72,4.83
601,5.2361,7.5541,4837.8,4.83
602,4.6735,6.7424,4839.01,4.84
603,4.476,6.4575,4838.38,4.84
604,4.733,6.8283,4838.2,4.84
605,4.338,6.2584,4840.17,4.84
606,4.5224,6.5244,4836.46,4.84
607,5.1368,7.4108,4837.64,4.84
608,4.8479,6.9941,4841.99,4.84
609,4.528,6.5325,4836.36,4.84
610,4.6988,6.779,4838.52,4.84
611,4.7079,6.7921,4839.13,4.84
612,4.8501,6.9972,4840.36,4.84
613,4.5535,6.5693,4836.35,4.84
614,4.4754,6.4566,4838.15,4.84
615,4.3094,6.2172,4859.44,4.84
616,4.1183,5.9414,4837.01,4.84
617,4.5965,6.6313,4856.32,4.84
618,4.9515,7.1435,4858.69,4.84
619,4.8093,6.9384,4839.57,4.84
620,4.8863,7.0495,4872.89,4.83
621,4.5368,6.5452,4859.74,4.83
622,4.3013,6.2054,4843.42,4.83
623,4.0669,5.8673,4857.34,4.83
624,4.6304,6.6802,4839.44,4.83
625,4.4232,6.3813,4837.58,4.84
626,4.7416,6.8408,4838.75,4.84
627,4.7962,6.9194,4837.78,4.84
628,4.5018,6.4948,4837.69,4.84
629,4.6668,6.7328,4839.65,4.84
630,4.9042,7.0753,4839.48,4.84
631,4.584,6.6133,4837.65,4.84
632,4.78,6.896,4858.94,4.84
633,4.6649,6.73,4837.47,4.84
634,4.6215,6.6674,4838.1,4.84
635,4.7615,6.8695,4858.01,4.84
636,4.7757,6.8899,4846.05,4.84
637,4.5557,6.5725,4832.6,4.84
638,4.4234,6.3816,4840.57,4.84
639,4.665,6.7301,4836.5,4.84
640,4.3627,6.2941,4837.21,4.84
641,4.0135,5.7903,4853.55,4.84
642,5.0171,7.2382,4863.94,4.84
643,3.9641,5.7189,4840.38,4.84
644,4.5981,6.6337,4856.67,4.84
645,4.4784,6.461,4858.14,4.84
646,4.4376,6.4022,4839.46,4.84
647,3.8795,5.5969,4857.41,4.83
648,4.9792,7.1834,4850.78,4.83
649,5.0504,7.2862,4845.26,4.83
650,5.0414,7.2732,4840.63,4.84
651,4.602,6.6393,4837.29,4.84
652,4.7079,6.792,4837.23,4.84
653,3.9333,5.6746,4853.18,4.84
654,4.333,6.2512,4860.17,4.83
655,4.7226,6.8133,4842.55,4.84
656,4.1032,5.9196,4844.6,4.84
657,4.9784,7.1823,4853.26,4.84
658,3.9783,5.7395,4838.38,4.84
659,4.2874,6.1854,4857.45,4.83
660,4.3019,6.2063,4857.9,4.83
661,4.5443,6.5561,4838.41,4.83
662,4.1127,5.9334,4859.39,4.83
663,4.2936,6.1944,4856.42,4.83
664,5.0556,7.2937,4840.4,4.83
665,5.0316,7.2591,4857.97,4.83
666,4.1694,6.0152,4857.61,4.83
