Iteration,Loss,BPC,Time (ms),MFU
608,4.895,7.062,6528.03,7.35
609,4.1588,5.9999,6561.89,7.35
610,4.7963,6.9196,6572.51,7.34
611,4.7082,6.7926,6607.03,7.34
612,5.087,7.3389,6598.37,7.33
613,4.4293,6.3901,6578.01,7.33
614,4.7794,6.8953,6570.99,7.33
615,4.6221,6.6682,6586.35,7.33
616,4.6427,6.698,6556.15,7.33
617,4.5123,6.5098,6539.6,7.33
618,4.6813,6.7537,6545.56,7.34
619,4.1723,6.0193,6546.45,7.34
620,4.8419,6.9854,6573.11,7.34
621,4.2098,6.0734,6586.08,7.33
622,4.941,7.1283,6601.14,7.33
623,4.647,6.7041,6571.01,7.33
624,4.285,6.1819,6558.81,7.33
625,4.6092,6.6496,6552.66,7.33
626,3.8393,5.539,6563.64,7.33
627,4.7097,6.7946,6570.13,7.33
628,4.3982,6.3453,6587.59,7.33
629,4.6672,6.7334,6581.68,7.33
630,4.6475,6.7049,6601.96,7.32
631,4.5218,6.5236,6599.2,7.32
632,4.7287,6.8221,6615.34,7.32
633,4.9339,7.1181,6574.63,7.32
634,4.9737,7.1755,6466.6,7.33
635,4.0915,5.9027,6414.66,7.35
636,4.888,7.0519,6408.9,7.36
637,4.0221,5.8027,6408.47,7.38
638,4.4748,6.4558,6366.77,7.4
639,4.4232,6.3813,6357.45,7.41
640,4.6885,6.7641,6359.6,7.43
641,4.487,6.4734,6337.23,7.45
642,4.423,6.381,6339.64,7.46
643,4.489,6.4762,6378.5,7.47
644,4.32,6.2324,6397.01,7.48
645,4.2115,6.0759,6419.25,7.48
646,4.2193,6.0871,6424.4,7.48
647,4.6028,6.6405,6470.84,7.48
648,4.747,6.8484,6515.28,7.47
649,4.9523,7.1447,6559.69,7.45
650,5.039,7.2698,6593.33,7.44
651,4.4702,6.4491,6648.97,7.42
652,4.5402,6.5501,6621.36,7.4
653,4.4678,6.4456,6628.9,7.39
654,4.0124,5.7886,6630.4,7.38
655,4.4174,6.373,6652.89,7.36
656,4.4437,6.4109,6634.95,7.35
657,4.3839,6.3246,6637.51,7.34
658,4.6979,6.7777,6621.84,7.33
659,4.5854,6.6154,6613.65,7.33
660,4.2714,6.1623,6603.18,7.33
661,4.5987,6.6346,6617.01,7.32
662,4.8721,7.0289,6616.57,7.32
663,4.6145,6.6573,6642.37,7.31
664,4.5345,6.5419,6638.81,7.3
665,4.7694,6.8808,6613.47,7.3
666,4.6318,6.6822,6595.28,7.3
